Location Name,Location Country,Station,Group,0%,5%,10%,20%,25%,50%,75%,80%,90%,95%,100%
Châteaudun,France,CHAT-M,G.W.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hamburg,Germany,HAMB-M,G.W.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jokioinen,Finland,JOKI-M,G.W.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kremsmünster,Austria,KREM-M,G.W.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Okehampton,U.K.,OKEH-M,G.W.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piacenza,Italy,PIAC-M,G.W.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Porto,Portugal,PORT-M,G.W.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sevilla,Spain,SEVI-M,G.W.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thiva,Greece,THIV-M,G.W.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lanna,Sweden,D1LANNA,S.W.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brimstone,U.K.,D2BRIMS,S.W.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vreedepeel,Netherlands,D3VREDE,S.W.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Skousbo,Denmark,D4SKOUS,S.W.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Jailliere,France,D5JAILL,S.W.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thiva,Greece,D6THEBE,S.W.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weiherbach,Germany,R1NOIRR,S.W.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Porto,Portugal,R2NOIRR,S.W.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bologna,Italy,R3NOIRR,S.W.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roujan,France,R4NOIRR,S.W.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
